INN	Position_384	Num_plaque384	TEE
Metformine hydrochloride	3	J16	PRC_1117
Tropisetron Hydrochloride	3	J17	PRC_0528
Irbesartan	3	J18	PRC_1118
Moclobemide	3	J19	PRC_0529
Theophylline	3	J20	PRC_1119
Tocainide	3	J21	PRC_0530
			
Sulfamethoxazole	3	K3	PRC_0931
Rifabutine	3	K4	PRC_1091
Ursolic Acid	3	K5	PRC_0932
Midecamycine Diacetate	3	K6	PRC_1092
Acetohydroxamic Acid	3	K7	PRC_0933
Tropatepine hydrochloride	3	K8	PRC_1093
Nisoxetine Hydrochloride	3	K9	PRC_0934
Temazepam	3	K10	PRC_1094
Diazoxide	3	K11	PRC_0935
Clotiazepam	3	K12	PRC_1095
L-Proline	3	K13	PRC_0936
Nomegestrol Acetate	3	K14	PRC_1096
L-Asparagine	3	K15	PRC_0937
Meprobamate	3	K16	PRC_1097
Nomifensine Maleate	3	K17	PRC_0938
Cibenzoline	3	K18	PRC_1098
Betamethasone	3	K19	PRC_0939
Cicletanine	3	K20	PRC_1099
Sr-95531	3	K21	PRC_0940
Zofenopril	3	K22	PRC_1100
Maraviroc	3	L3	PRC_0531
			
Tamsulosin Hydrochloride	3	L5	PRC_0532
Methimazole	3	L6	PRC_0482
Fenoldopam Mesylate	3	L7	PRC_0533
Acemetacin	3	L8	PRC_0483
Sitagliptin Phosphate	3	L9	PRC_0534
O-Carboxyphenyl Phosphate	3	L10	PRC_0484
Calcipotriol	3	L11	PRC_0535
Fumaric Acid	3	L12	PRC_0485
Erlotinib	3	L13	PRC_0536
Ginkgolide A	3	L14	PRC_0486
Sunitinib Maleate	3	L15	PRC_0537
Androsterone	3	L16	PRC_0487
Dasatinib	3	L17	PRC_0538
Clemastine Fumarate	3	L18	PRC_0488
Artesunate	3	L19	PRC_0539
Uric Acid	3	L20	PRC_0489
Acetamide	3	L21	PRC_0540
Androstenedione	3	L22	PRC_0490
Vanorexine	3	M3	PRC_0941
Oxitriptan	3	M4	PRC_1101
Pyridoxine	3	M5	PRC_0942
Fluindione	3	M6	PRC_1102
Mecamylamine Hydrochloride	3	M7	PRC_0943
Pyridostigmine	3	M8	PRC_1103
Phentolamine Hydrochloride	3	M9	PRC_0944
Eplerenone	3	M10	PRC_1104
L-Ornithine	3	M11	PRC_0945
Bromazepam	3	M12	PRC_1105
8-Methoxypsoralen	3	M13	PRC_0946
Telithromycine	3	M14	PRC_1106
Androstanedione	3	M15	PRC_0947
Cefatrizine	3	M16	PRC_1107
Meso-Erythritol	3	M17	PRC_0948
Alprazolam	3	M18	PRC_1108
Calcitriol	3	M19	PRC_0949
Adrafinil	3	M20	PRC_1109
Oxazepam	3	M21	PRC_0950
Procarbazine Hydrochloride	3	M22	PRC_1110
Lumiracoxib	3	N3	PRC_0541
L-Glutamine	3	N4	PRC_0551
Voglibose	3	N5	PRC_0542
2,6-Diaminopimelic Acid	3	N6	PRC_0552
Octreotide Acetate	3	N7	PRC_0543
Perindopril	3	N8	PRC_0553
Zolpidem Tartrate	3	N9	PRC_0544
Loratadine	3	N10	PRC_0554
Letrozole	3	N11	PRC_0545
Vardenafil Citrate	3	N12	PRC_0555
Orlistat	3	N13	PRC_0546
Rufloxacin Hcl	3	N14	PRC_0556
Dl-Methionine Sulfoxide	3	N15	PRC_0547
Lonidamine	3	N16	PRC_0557
Deferasirox	3	N17	PRC_0548
Orazamide	3	N18	PRC_0558
Pergolide Mesylate	3	N19	PRC_0549
Bromfenac	3	N20	PRC_0559
Salmeterol Xinafoate	3	N21	PRC_0550
			
Verapamil	4	C3	PRC_0571
Mycophenolate Mofetil	4	C4	PRC_0651
Pazufloxacin	4	C5	PRC_0572
Nifekalant Hcl	4	C6	PRC_0652
Rimonabant	4	C7	PRC_0573
Midazolam Hydrochloride	4	C8	PRC_0653
Tiagabine Hcl	4	C9	PRC_0574
Miglitol	4	C10	PRC_0654
Tibolone	4	C11	PRC_0575
Mirtazapine	4	C12	PRC_0655
Troglitazone	4	C13	PRC_0576
Levosimendan	4	C14	PRC_0656
Ropinirole Hydrochloride	4	C15	PRC_0577
Nevirapine	4	C16	PRC_0657
Toremifene Citrate	4	C17	PRC_0578
Meropenem	4	C18	PRC_0658
Roxatidine Acetate Hydrochloride	4	C19	PRC_0579
Rizatriptan Benzoate	4	C20	PRC_0580
Montelukast Sodium	4	C21	PRC_0660
Manidipine Dihydrochloride	4	C22	PRC_0659
Clobazam	4	D3	PRC_0731
			
Cilnidipine	4	D5	PRC_0732
Ranolazine Dihydrochloride	4	D6	PRC_0562
Clopidogrel Hydrogen Sulfate	4	D7	PRC_0733
Risedronate Sodium	4	D8	PRC_0563
Dofetilide	4	D9	PRC_0734
Ramipril	4	D10	PRC_0564
Fluocinolone Acetonide	4	D11	PRC_0735
Pioglitazone Hydrochloride	4	D12	PRC_0565
Diethylstilbestrol	4	D13	PRC_0736
Tadalafil	4	D14	PRC_0566
Citalopram Hydrobromide	4	D15	PRC_0737
Stanolone	4	D16	PRC_0567
Diphenoxylate Hydrochloride	4	D17	PRC_0738
Olanzapine	4	D18	PRC_0568
Dexbrompheniramine Maleate	4	D19	PRC_0739
Rosiglitazone	4	D20	PRC_0569
Carprofen	4	D21	PRC_0740
Sildenafil Citrate	4	D22	PRC_0570
Valacyclovir Hydrochloride	4	E3	PRC_0581
Nitazoxanide	4	E4	PRC_0661
Sparfloxacin	4	E5	PRC_0582
Nefazodone Hydrochloride	4	E6	PRC_0662
Zonisamide	4	E7	PRC_0583
Mianserin Hydrochloride	4	E8	PRC_0663
Valdecoxib	4	E9	PRC_0584
Nicorandil	4	E10	PRC_0664
Zaleplon	4	E11	PRC_0585
Nicardipine	4	E12	PRC_0665
Testosterone	4	E13	PRC_0586
Levamisole Hydrochloride	4	E14	PRC_0666
Ritodrine Hydrochloride	4	E15	PRC_0587
Mestranol	4	E16	PRC_0667
Tosufloxacin Tosilate	4	E17	PRC_0588
Milrinone	4	E18	PRC_0668
Topiramate	4	E19	PRC_0589
Miconazole Nitrate	4	E20	PRC_0669
Trandolapril	4	E21	PRC_0590
Terbinafine Hydrochloride	4	E22	PRC_0670
Celecoxib	4	F3	PRC_0741
Telmisartan	4	F4	PRC_0631
Cefdinir	4	F5	PRC_0742
Zileuton	4	F6	PRC_0632
Clenbuterol Hydrochloride	4	F7	PRC_0743
Levetiracetam	4	F8	PRC_0633
Clobetasol Propionate	4	F9	PRC_0744
Pefloxacin Mesylate	4	F10	PRC_0634
Itopride Hydrochloride	4	F11	PRC_0745
Pentoxifylline	4	F12	PRC_0635
Felodipine	4	F13	PRC_0746
Phentolamine Mesylate	4	F14	PRC_0636
Epinastine Hydrochloride	4	F15	PRC_0747
Penciclovir	4	F16	PRC_0637
Etodolac	4	F17	PRC_0748
Beta-Alanine	4	F18	PRC_0638
Ethyloestrenol	4	F19	PRC_0749
Oxaprozin	4	F20	PRC_0639
Donepezil Hydrochloride	4	F21	PRC_0750
			
Eletriptan	4	G3	PRC_0591
Mazindol	4	G4	PRC_0671
Aripiprazole	4	G5	PRC_0592
Methyltestosterone	4	G6	PRC_0672
Ziprasidone	4	G7	PRC_0593
Lamivudine	4	G8	PRC_0673
Secnidazole	4	G9	PRC_0594
Metronidazole	4	G10	PRC_0674
Tranilast	4	G11	PRC_0595
Minoxidil	4	G12	PRC_0675
Voriconazole	4	G13	PRC_0596
Amorolfine Hcl	4	G14	PRC_0676
			
			
Zopiclone	4	G17	PRC_0598
Mycophenolate Sodium	4	G18	PRC_0678
Zafirlukast	4	G19	PRC_0599
Lisinopril	4	G20	PRC_0679
Paroxetine Hydrochloride	4	G21	PRC_0600
Nateglinide	4	G22	PRC_0680
Doxofylline	4	H3	PRC_0751
			
Clindamycin Phosphate	4	H5	PRC_0752
Loteprednol Etabonate	4	H6	PRC_0642
Clotrimazole	4	H7	PRC_0753
Lovastatin	4	H8	PRC_0643
Fosinopril Sodium	4	H9	PRC_0754
Nelfinavir Mesylate	4	H10	PRC_0644
Efavirenz	4	H11	PRC_0755
Nandrolone	4	H12	PRC_0645
Carbimazole	4	H13	PRC_0756
Methohexital	4	H14	PRC_0646
			
Moxonidine Hydrochloride	4	H16	PRC_0647
Gatifloxacin	4	H17	PRC_0758
Mebendazole	4	H18	PRC_0648
Amikacin Sulfate	4	H19	PRC_0759
Tulobuterol Hydrochloride	4	H20	PRC_0649
Duloxetine Hydrochloride	4	H21	PRC_0760
Moxifloxacin Hcl	4	H22	PRC_0650
Ondansetron Hydrochloride	4	I3	PRC_0601
Khellin	4	I4	PRC_0681
Pravastatin Sodium	4	I5	PRC_0602
Fluoxetine Hydrochlorate	4	I6	PRC_0682
Repaglinide	4	I7	PRC_0603
Finasteride	4	I8	PRC_0683
			
			
Rivastigmine Tartrate	4	I11	PRC_0605
Kanamycin Sulfate	4	I12	PRC_0685
Pravastatin Lactone	4	I13	PRC_0606
Imatinib Mesylate	4	I14	PRC_0686
Ritonavir	4	I15	PRC_0607
Indinavir Sulfate	4	I16	PRC_0687
Simvastatin	4	I17	PRC_0608
Lamotrigine	4	I18	PRC_0688
Rebamipide	4	I19	PRC_0609
Cerivastatin Sodium	4	I20	PRC_0610
Norethisterone	4	I21	PRC_0690
Modafinil	4	I22	PRC_0689
Bosentan	4	J3	PRC_0761
Tenofovir	4	J4	PRC_0711
5-Aminolevulinic Acid Hydrochloride	4	J5	PRC_0762
Nadifloxacin	4	J6	PRC_0712
Alendronate Sodium	4	J7	PRC_0763
Doxapram Hydrochloride	4	J8	PRC_0713
			
Fluticasone Propionate	4	J10	PRC_0714
Dorzolamide Hcl	4	J11	PRC_0765
Famciclovir	4	J12	PRC_0715
Carvedilol	4	J13	PRC_0766
Formestane	4	J14	PRC_0716
Cilostazol	4	J15	PRC_0767
Fexofenadine Hydrochloride	4	J16	PRC_0717
Chlorpromazine Hydrochloride	4	J17	PRC_0768
Eprosartan Mesylate	4	J18	PRC_0718
Clebopride Maleate	4	J19	PRC_0769
Ketoprofen	4	J20	PRC_0719
Cefalexin Monohydrate	4	J21	PRC_0770
			
Sotalol Hydrochloride	4	K3	PRC_0611
Fluconazole	4	K4	PRC_0691
Racecadotril	4	K5	PRC_0612
Escitalopram Oxalate	4	K6	PRC_0692
Levulinic Acid	4	K7	PRC_0613
Boldenone	4	K8	PRC_0693
Oxcarbazepine	4	K9	PRC_0614
Flumazenil	4	K10	PRC_0694
Sertindole	4	K11	PRC_0615
Lacidipine	4	K12	PRC_0695
Stepronin	4	K13	PRC_0616
Ibudilast	4	K14	PRC_0696
Lofexidine Hcl	4	K15	PRC_0617
Drospirenone	4	K16	PRC_0697
Pranlukast	4	K17	PRC_0618
Lercanidipine Hydrochloride	4	K18	PRC_0698
Olopatadine Hydrochloride	4	K19	PRC_0619
Etoricoxib	4	K20	PRC_0699
Oseltamivir Phosphate	4	K21	PRC_0620
Gabapentin	4	K22	PRC_0700
Azelastine Hydrochloride	4	L3	PRC_0771
			
Bambuterol Hydrochloride	4	L5	PRC_0772
Ceftazidime	4	L6	PRC_0722
Aztreonam	4	L7	PRC_0773
Gefitinib	4	L8	PRC_0723
Argatroban	4	L9	PRC_0774
Emtricitabine	4	L10	PRC_0724
Amlodipine	4	L11	PRC_0775
Grepafloxacin	4	L12	PRC_0725
Anagrelide Hydrochloride	4	L13	PRC_0776
Ezetimibe	4	L14	PRC_0726
Acipimox	4	L15	PRC_0777
Entacapone	4	L16	PRC_0727
Bicalutamide	4	L17	PRC_0778
Granisetron Hydrochloride	4	L18	PRC_0728
Anastrozole	4	L19	PRC_0779
Exemestane	4	L20	PRC_0729
Aceclofenac	4	L21	PRC_0780
Darifenacin Hydrobromide	4	L22	PRC_0730
Olmesartan Medoxomil	4	M3	PRC_0621
Enalaprilat	4	M4	PRC_0701
Sulfadoxine	4	M5	PRC_0622
Gestrinone	4	M6	PRC_0702
Sertraline Hydrochloride	4	M7	PRC_0623
Idebenone	4	M8	PRC_0703
Salbutamol	4	M9	PRC_0624
Isradipine	4	M10	PRC_0704
Pemoline	4	M11	PRC_0625
Imipramine Hydrochloride	4	M12	PRC_0705
Pamidronate Disodium	4	M13	PRC_0626
Glycopyrrolate	4	M14	PRC_0706
Nisoldipine	4	M15	PRC_0627
Hydroxychloroquine Sulfate	4	M16	PRC_0707
Pregabalin	4	M17	PRC_0628
Ibandronate Sodium	4	M18	PRC_0708
Risperidone	4	M19	PRC_0629
21-Hydroxyprogesterone	4	M20	PRC_0709
Sumatriptan Succinate	4	M21	PRC_0630
Losartan Potassium	4	M22	PRC_0710
Ozagrel Hydrochloride	4	N3	PRC_0781
Rofecoxib	4	N4	PRC_0791
Alfuzosin	4	N5	PRC_0782
Rabeprazole	4	N6	PRC_0792
Alosetron Hydrochloride	4	N7	PRC_0783
Linezolid	4	N8	PRC_0793
Bisoprolol Fumarate	4	N9	PRC_0784
Bortezomib	4	N10	PRC_0794
Butenafine Hcl	4	N11	PRC_0785
Pramipexole Dihydrochloride	4	N12	PRC_0795
Amlexanox	4	N13	PRC_0786
Dobutamine Hydrochloride	4	N14	PRC_0796
Atomoxetine Hydrochloride	4	N15	PRC_0787
Rapamycin	4	N16	PRC_0797
Beta-Estradiol	4	N17	PRC_0788
Rasagiline Mesylate	4	N18	PRC_0798
Ampiroxicam	4	N19	PRC_0789
Fluvastatin Sodium	4	N20	PRC_0799
Bromhexine Hydrochloride	4	N21	PRC_0790
			
Ebastine	5	C3	PRC_1131
Hesperetin	5	C4	PRC_0811
Desmethyldiazepam	5	C5	PRC_1132
Mexiletine Hydrochloride	5	C6	PRC_0812
Saquinavir Mesylate	5	C7	PRC_1133
Tolazoline	5	C8	PRC_0813
Prazepam	5	C9	PRC_1134
Cloxacillin Sodium Monohydrate	5	C10	PRC_0814
Rosuvastatin Calcium	5	C11	PRC_1135
Nafcillin Sodium Monohydrate	5	C12	PRC_0815
Propylthiouracile	5	C13	PRC_1136
Perphenazine	5	C14	PRC_0816
Nitrazepam	5	C15	PRC_1137
Lipoic Acid	5	C16	PRC_0817
Halofantrine Hydrochloride	5	C17	PRC_1138
Chlorthalidone	5	C18	PRC_0818
Dihexyverine	5	C19	PRC_1139
Tiadenol	5	C20	PRC_1140
Tobramycin	5	C21	PRC_0820
Glybenclamide	5	C22	PRC_0819
Tropicamide	5	D3	PRC_0971
			
Penicillin V Potassium	5	D5	PRC_0972
Trimetazidin	5	D6	PRC_1122
Carisoprodol	5	D7	PRC_0973
Pyrvinium	5	D8	PRC_1123
Trans-Anethole	5	D9	PRC_0974
Imidapril Chlorhydrate	5	D10	PRC_1124
Cefoxitin Sodium	5	D11	PRC_0975
Indoramin	5	D12	PRC_1125
Gentamicin Sulfate	5	D13	PRC_0976
Piretanide	5	D14	PRC_1126
Amphotericin B Solubilized	5	D15	PRC_0977
Meclizine	5	D16	PRC_1127
Quipazine Maleate	5	D17	PRC_0978
Pipotiazine	5	D18	PRC_1128
Carbenicillin Disodium	5	D19	PRC_0979
Dosulepin	5	D20	PRC_1129
Naltrexone Hydrochloride	5	D21	PRC_0980
Etilefrine	5	D22	PRC_1130
Ambenonium Chloride	5	E3	PRC_1141
Oxacillin Sodium	5	E4	PRC_0821
Mequitazine	5	E5	PRC_1142
Amitriptyline Hydrochloride	5	E6	PRC_0822
Glimepiride	5	E7	PRC_1143
Mifepristone	5	E8	PRC_0823
Tritoqualine	5	E9	PRC_1144
Benzydamine Hydrochloride	5	E10	PRC_0824
Pseudoephedrine Hydrochloride	5	E11	PRC_1145
Buspirone Hydrochloride	5	E12	PRC_0825
Norethandrolone	5	E13	PRC_1146
Imidazolidinyl Urea	5	E14	PRC_0826
Alimemazine	5	E15	PRC_1147
Mepirizole	5	E16	PRC_0827
Solifenacin	5	E17	PRC_1148
Ambroxol Hydrochloride	5	E18	PRC_0828
Medrogestone	5	E19	PRC_1149
Amrinone	5	E20	PRC_0829
Olsalazine	5	E21	PRC_1150
Betamethasone Valerate	5	E22	PRC_0830
Synephrine	5	F3	PRC_0981
Tertatolol Chlorhydrate	5	F4	PRC_1191
Ticarcillin Disodium	5	F5	PRC_0982
Dantrolene	5	F6	PRC_1192
Itraconazole	5	F7	PRC_0983
Lopinavir	5	F8	PRC_1193
Acebutolol Hydrochloride	5	F9	PRC_0984
Valsartan	5	F10	PRC_1194
Cysteamine	5	F11	PRC_0985
Dihydroergotamine Mesylate	5	F12	PRC_1195
Amiodarone Hydrochloride	5	F13	PRC_0986
Trospium Chloride	5	F14	PRC_1196
Praziquantel	5	F15	PRC_0987
Acenocoumarol	5	F16	PRC_1197
Gossypol	5	F17	PRC_0988
Brinzolamide	5	F18	PRC_1198
Trioxsalen	5	F19	PRC_0989
Levocabastine Hydrochloride	5	F20	PRC_1199
6-Methoxyharmalan	5	F21	PRC_0990
			
Diazepam	5	G3	PRC_1151
Clorgyline Hydrochloride	5	G4	PRC_0880
Zolmitriptan	5	G5	PRC_1152
Piperacillin Sodium	5	G6	PRC_0832
Sulbutiamine	5	G7	PRC_1153
Minocycline Hydrochloride	5	G8	PRC_0833
Mizolastine	5	G9	PRC_1154
Desipramine Hydrochloride	5	G10	PRC_0834
Lormetazepam	5	G11	PRC_1155
N-Acetylprocainamide Hydrochloride	5	G12	PRC_0835
Aprepitant	5	G13	PRC_1156
Baclofen	5	G14	PRC_0836
			
			
Dienogest	5	G17	PRC_1158
Benzbromarone	5	G18	PRC_0838
Glubionate Calcium	5	G19	PRC_1159
Isoetharine Mesylate	5	G20	PRC_0839
Fondaparinux Sodium	5	G21	PRC_1160
Dexamethasone 21-Phosphate Disodium	5	G22	PRC_0840
Cyproterone Acetate	5	H3	PRC_0991
			
Hydroxocobalamin Acetate	5	H5	PRC_0992
Tolnaftate	5	H6	PRC_0802
(S)-Sulpiride	5	H7	PRC_0993
Trimebutine	5	H8	PRC_0803
Ampicillin Sodium	5	H9	PRC_0994
Chlorprothixene Hydrochloride	5	H10	PRC_0804
Choline Base Solution	5	H11	PRC_0995
S-Benzoylthiamine O-Monophosphate	5	H12	PRC_0805
Cefsulodin Sodium Hydrate	5	H13	PRC_0996
Flupirtine Maleate	5	H14	PRC_0806
			
Colistin Sulfate	5	H16	PRC_0807
Quinapril  Hydrochloride	5	H17	PRC_0998
Clopamide	5	H18	PRC_0808
Norgestrel	5	H19	PRC_0999
Mebeverine Hydrochloride	5	H20	PRC_0809
Corynanthine	5	H21	PRC_1000
Carbamazepine	5	H22	PRC_0810
Aurotioprol	5	I3	PRC_1161
Trimethoprim	5	I4	PRC_0841
Estazolam	5	I5	PRC_1162
Dipyrone	5	I6	PRC_0842
Isothipendyl	5	I7	PRC_1163
Nicardipine Hydrochloride	5	I8	PRC_0843
			
			
Ergotamine	5	I11	PRC_1165
Bromopride	5	I12	PRC_0845
Alpha-Dihydroergocryptine	5	I13	PRC_1166
Methyl-Aminolevulinate Hydrochloride	5	I14	PRC_0846
Captodiamine	5	I15	PRC_1167
Diosmin	5	I16	PRC_0847
Biperiden	5	I17	PRC_1168
Molsidomine	5	I18	PRC_0848
Oxetorone	5	I19	PRC_1169
Dihydroergocristine	5	I20	PRC_1170
Cefradine	5	I21	PRC_0850
Carbenoxolone Disodium	5	I22	PRC_0849
Chlortetracycline Hcl	5	J3	PRC_1001
fosfomycin Calcium	5	J4	PRC_0870
Vancomycin Hydrochloride	5	J5	PRC_1002
Myosmine	5	J6	PRC_0871
6,9-Difluoroprednisolone 21-Acetate 17-Butyrate	5	J7	PRC_1003
Nifedipine	5	J8	PRC_0872
			
Bisacodyl	5	J10	PRC_0873
Phylloquinone (K1)	5	J11	PRC_1005
Naloxone Hydrochloride Dihydrate	5	J12	PRC_0874
Betulinic Acid	5	J13	PRC_1006
Chlorothiazide	5	J14	PRC_0875
Sulfadimethoxine	5	J15	PRC_1007
Triprolidine Hydrochloride	5	J16	PRC_0876
Riboflavin 5'-Monophosphate Sodium	5	J17	PRC_1008
Betulin	5	J18	PRC_0877
Oxytetracycline Hemicalcium	5	J19	PRC_1009
Roxithromycin	5	J20	PRC_0878
Leflunomide	5	J21	PRC_1010
			
Chlordiazepoxide	5	K3	PRC_1171
Tamoxifen	5	K4	PRC_0851
Tetrabenazine	5	K5	PRC_1172
Ethionamide	5	K6	PRC_0852
Vigabatrin	5	K7	PRC_1173
Norfloxacin	5	K8	PRC_0853
Bamifylline	5	K9	PRC_1174
Terfenadine	5	K10	PRC_0854
Phenobarbital	5	K11	PRC_1175
Tiapride Hydrochloride	5	K12	PRC_0855
Almitrine Bismesylate	5	K13	PRC_1176
Propafenone Hydrochloride	5	K14	PRC_0856
Papaverine Hydrochloride	5	K15	PRC_1177
Pridinol Methanesulfonate	5	K16	PRC_0857
Capecitabine	5	K17	PRC_1178
Nimesulide	5	K18	PRC_0858
Oxprenolol Hydrochloride	5	K19	PRC_1179
Pimozide	5	K20	PRC_0859
Dextropropoxyphene Hydrochloride	5	K21	PRC_1180
Spectinomycin Dihydrochloride Hydrate	5	K22	PRC_0860
Omeprazole	5	L3	PRC_1011
			
Procyclidine Hydrochloride	5	L5	PRC_1012
Epinephrine	5	L6	PRC_0962
Amoxicillin	5	L7	PRC_1013
Cyclothiazide	5	L8	PRC_0963
(1R,2R)-1,2-Diaminocyclohexane	5	L9	PRC_1014
N-Acetyl-L-Cysteine	5	L10	PRC_0964
Cyclosporin A	5	L11	PRC_1015
Methoxamine Hydrochloride	5	L12	PRC_0965
Cefazolin Sodium	5	L13	PRC_1016
Oxolinic Acid	5	L14	PRC_0966
Retinyl Palmitate	5	L15	PRC_1017
Propranolol	5	L16	PRC_0967
Catechin Hydrate	5	L17	PRC_1018
Novobiocin Sodium	5	L18	PRC_0968
Rifampicin	5	L19	PRC_1019
6-Methyl-11-Hydroxyprogesterone	5	L20	PRC_0969
Cefalotin Sodium	5	L21	PRC_1020
Folic Acid	5	L22	PRC_0970
Quinagolide Hydrochloride	5	M3	PRC_1181
Gallamine Triethiodide	5	M4	PRC_0861
Valpromide	5	M5	PRC_1182
Cefmetazole Sodium	5	M6	PRC_0862
Tolcapone	5	M7	PRC_1183
Droperidol	5	M8	PRC_0863
Erdosteine	5	M9	PRC_1184
Suloctidil	5	M10	PRC_0831
Chlorquinaldol	5	M11	PRC_1185
Lansoprazole	5	M12	PRC_0864
Tiliquinol	5	M13	PRC_1186
Tetracycline	5	M14	PRC_0865
Tilbroquinol	5	M15	PRC_1187
(+)-Cis-Diltiazem Hydrochloride	5	M16	PRC_0866
Pyrimethamine	5	M17	PRC_1188
Nifenazone	5	M18	PRC_0867
Ceftriaxone	5	M19	PRC_1189
Enoxacin	5	M20	PRC_0868
Cafedrine Chlorhydrate	5	M21	PRC_1190
Trimipramine Maleate	5	M22	PRC_0869
Potassium Clavulanate	5	N3	PRC_1021
Adenosine	5	N4	PRC_1031
Amisulpride	5	N5	PRC_1022
L-Glutathione Reduced	5	N6	PRC_1032
Furaltadone	5	N7	PRC_1023
Phenoxybenzamine Hydrochloride	5	N8	PRC_1033
Piroxicam	5	N9	PRC_1024
Cefuroxime Sodium	5	N10	PRC_1034
Bromocriptine Mesylate	5	N11	PRC_1025
2,3-Dimercapto-1-Propanol	5	N12	PRC_1035
Flumethasone	5	N13	PRC_1026
Pralidoxime	5	N14	PRC_1036
Sulfameter	5	N15	PRC_1027
Biotin	5	N16	PRC_1037
Glutathione Oxidized	5	N17	PRC_1028
Pyridoxal Hydrochloride	5	N18	PRC_1038
Dicloxacillin Sodium Hydrate	5	N19	PRC_1029
Spermine	5	N20	PRC_1039
Amikacin Hydrate	5	N21	PRC_1030
			
Aceglutamide	6	C3	PRC_1211
Pyritinol	6	C4	PRC_1337
Acetanilide	6	C5	PRC_1212
Rifaximin	6	C6	PRC_1338
Acetohexamide	6	C7	PRC_1213
Rutoside	6	C8	PRC_1339
Altrenogest	6	C9	PRC_1214
Sodium Nitroprusside	6	C10	PRC_1340
Aminohippuric Acid	6	C11	PRC_1215
Spiramycin A	6	C12	PRC_1341
Aminohydroxybutyric Acid	6	C13	PRC_1216
Sulfanilamide	6	C14	PRC_1342
Aminosalicylate Sodium	6	C15	PRC_1217
Sulfathiazole	6	C16	PRC_1343
Aminothiazole	6	C17	PRC_1218
Taurine	6	C18	PRC_1344
Ascorbyl Palmitate	6	C19	PRC_1219
Azaperone	6	C20	PRC_1220
Teicoplanin	6	C21	PRC_1345
Tazobactam	6	C22	PRC_1354
Dexfenfluramine	6	D3	PRC_1361
			
Methysergide	6	D5	PRC_1369
Nefopam	6	D6	PRC_1202
Oxymetazoline Hydrochloride	6	D7	PRC_1377
Alizapride	6	D8	PRC_1203
8-Chloro Theophylline	6	D9	PRC_1385
Fosamprenavir	6	D10	PRC_1204
viloxazine	6	D11	PRC_1392
Fleroxacin	6	D12	PRC_1205
Tianeptine Sodium	6	D13	PRC_1400
Lincomycin	6	D14	PRC_1206
sultopride	6	D15	PRC_1408
Cilastatin	6	D16	PRC_1207
Phloroglucinol	6	D17	PRC_1415
Ricobendazole	6	D18	PRC_1208
Ciprofibrate	6	D19	PRC_1423
Tranylcypromine Hydrochloride	6	D20	PRC_1209
Clindamycin Hydrochloride	6	D21	PRC_1431
Acedoben	6	D22	PRC_1210
Benzthiazide	6	E3	PRC_1221
Tioxolone	6	E4	PRC_1346
Benztropine	6	E5	PRC_1222
Tolfenamic Acid	6	E6	PRC_1355
Bephenium Hydroxynapthoate	6	E7	PRC_1223
Trimetozine	6	E8	PRC_1347
Beta-Escin	6	E9	PRC_1224
6-Hydroxydopamine Hydrochloride	6	E10	PRC_1286
Bethanechol Chloride	6	E11	PRC_1225
Fomepizole	6	E12	PRC_1287
Bornyl Acetate	6	E13	PRC_1226
N6,2'-O-Dibutyryladenosine 3',5'-Cyclic Monophosphate Sodium	6	E14	PRC_1290
Bromindione	6	E15	PRC_1227
Dilazep Dihydrochloride	6	E16	PRC_1295
Camylofine Dihydrochloride	6	E17	PRC_1228
Apomorphine	6	E18	PRC_1297
Candesartan	6	E19	PRC_1229
Drofenine Hydrochloride	6	E20	PRC_1299
Carsalam	6	E21	PRC_1230
Amethopterin	6	E22	PRC_1301
Diethylcarbamazine Citrate	6	F3	PRC_1362
Mepenzolate Bromide	6	F4	PRC_1271
Vinburnine	6	F5	PRC_1370
Metacetamol	6	F6	PRC_1272
Dolasetron	6	F7	PRC_1378
Methicillin Sodium	6	F8	PRC_1273
Atazanavir	6	F9	PRC_1386
Methscopolamine Bromide	6	F10	PRC_1274
Rufinamide	6	F11	PRC_1393
Miltefosine	6	F12	PRC_1275
Sulfamidine	6	F13	PRC_1401
Natamycin	6	F14	PRC_1276
benzoctamine	6	F15	PRC_1409
Nitrofurazone	6	F16	PRC_1277
amineptine	6	F17	PRC_1416
Norethynodrel	6	F18	PRC_1278
apixaban	6	F19	PRC_1424
Oxfendazole	6	F20	PRC_1279
Cefuroxime Axetil	6	F21	PRC_1432
			
Carzenide	6	G3	PRC_1231
Metanephrine Hydrochloride	6	G4	PRC_1305
Cefapirin Sodium	6	G5	PRC_1232
Tocopherol Acetate Semisynthetic	6	G6	PRC_1307
Chenodeoxycholic Acid	6	G7	PRC_1233
N4-Phthalylsulfathiazole	6	G8	PRC_1309
Chlormezanone	6	G9	PRC_1234
Isoamyl Salicylate	6	G10	PRC_1312
Cholesterol	6	G11	PRC_1235
Iproniazid Phosphate	6	G12	PRC_1315
Chromocarb	6	G13	PRC_1236
Triethylenetetramine Dihydrochloride	6	G14	PRC_1282
			
			
Cinchonidine	6	G17	PRC_1238
Cotinine	6	G18	PRC_1289
Cinchophen	6	G19	PRC_1239
(R)-Phenylephrine Hydrochloride	6	G20	PRC_1291
Clofoctol	6	G21	PRC_1240
Denatonium Benzoate	6	G22	PRC_1292
Pholcodine	6	H3	PRC_1363
			
Bupivacaine Hydrochloride	6	H5	PRC_1371
